"","gutenberg_id","text","story"
"1",1661,"ADVENTURE I. A SCANDAL IN BOHEMIA","ADVENTURE I. A SCANDAL IN BOHEMIA"
"2",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"3",1661,"I.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"4",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"5",1661,"To Sherlock Holmes she is always THE woman. I have seldom heard","ADVENTURE I. A SCANDAL IN BOHEMIA"
"6",1661,"him mention her under any other name. In his eyes she eclipses","ADVENTURE I. A SCANDAL IN BOHEMIA"
"7",1661,"and predominates the whole of her sex. It was not that he felt","ADVENTURE I. A SCANDAL IN BOHEMIA"
"8",1661,"any emotion akin to love for Irene Adler. All emotions, and that","ADVENTURE I. A SCANDAL IN BOHEMIA"
"9",1661,"one particularly, were abhorrent to his cold, precise but","ADVENTURE I. A SCANDAL IN BOHEMIA"
"10",1661,"admirably balanced mind. He was, I take it, the most perfect","ADVENTURE I. A SCANDAL IN BOHEMIA"
"11",1661,"reasoning and observing machine that the world has seen, but as a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"12",1661,"lover he would have placed himself in a false position. He never","ADVENTURE I. A SCANDAL IN BOHEMIA"
"13",1661,"spoke of the softer passions, save with a gibe and a sneer. They","ADVENTURE I. A SCANDAL IN BOHEMIA"
"14",1661,"were admirable things for the observer--excellent for drawing the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"15",1661,"veil from men's motives and actions. But for the trained reasoner","ADVENTURE I. A SCANDAL IN BOHEMIA"
"16",1661,"to admit such intrusions into his own delicate and finely","ADVENTURE I. A SCANDAL IN BOHEMIA"
"17",1661,"adjusted temperament was to introduce a distracting factor which","ADVENTURE I. A SCANDAL IN BOHEMIA"
"18",1661,"might throw a doubt upon all his mental results. Grit in a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"19",1661,"sensitive instrument, or a crack in one of his own high-power","ADVENTURE I. A SCANDAL IN BOHEMIA"
"20",1661,"lenses, would not be more disturbing than a strong emotion in a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"21",1661,"nature such as his. And yet there was but one woman to him, and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"22",1661,"that woman was the late Irene Adler, of dubious and questionable","ADVENTURE I. A SCANDAL IN BOHEMIA"
"23",1661,"memory.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"24",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"25",1661,"I had seen little of Holmes lately. My marriage had drifted us","ADVENTURE I. A SCANDAL IN BOHEMIA"
"26",1661,"away from each other. My own complete happiness, and the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"27",1661,"home-centred interests which rise up around the man who first","ADVENTURE I. A SCANDAL IN BOHEMIA"
"28",1661,"finds himself master of his own establishment, were sufficient to","ADVENTURE I. A SCANDAL IN BOHEMIA"
"29",1661,"absorb all my attention, while Holmes, who loathed every form of","ADVENTURE I. A SCANDAL IN BOHEMIA"
"30",1661,"society with his whole Bohemian soul, remained in our lodgings in","ADVENTURE I. A SCANDAL IN BOHEMIA"
"31",1661,"Baker Street, buried among his old books, and alternating from","ADVENTURE I. A SCANDAL IN BOHEMIA"
"32",1661,"week to week between cocaine and ambition, the drowsiness of the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"33",1661,"drug, and the fierce energy of his own keen nature. He was still,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"34",1661,"as ever, deeply attracted by the study of crime, and occupied his","ADVENTURE I. A SCANDAL IN BOHEMIA"
"35",1661,"immense faculties and extraordinary powers of observation in","ADVENTURE I. A SCANDAL IN BOHEMIA"
"36",1661,"following out those clues, and clearing up those mysteries which","ADVENTURE I. A SCANDAL IN BOHEMIA"
"37",1661,"had been abandoned as hopeless by the official police. From time","ADVENTURE I. A SCANDAL IN BOHEMIA"
